Player_name,Player_url,Nation,Pos,Age,MP,Starts,Min,Team
Emi Buendía,https://fbref.com/en/players/66b76d44/Emi-Buendia,ARG,"MF,FW", 27,12,0,98,Aston Villa
Matz Sels,https://fbref.com/en/players/834b5c4c/Matz-Sels,BEL,GK,32,38,38,3420,Nott'ham Forest
Nikola Milenković,https://fbref.com/en/players/bee704fc/Nikola-Milenkovic,SRB,DF,26,37,37,3330,Nott'ham Forest
Murillo,https://fbref.com/en/players/1704b0b8/Murillo,BRA,DF,22,36,36,3188,Nott'ham Forest
Ola Aina,https://fbref.com/en/players/246d153b/Ola-Aina,NGA,DF,27,35,35,2995,Nott'ham Forest
Chris Wood,https://fbref.com/en/players/4e9a0555/Chris-Wood,NZL,FW,32,36,35,2959,Nott'ham Forest
Morgan Gibbs-White,https://fbref.com/en/players/32f60ed8/Morgan-Gibbs-White,ENG,MF,24,34,34,2803,Nott'ham Forest
Elliot Anderson,https://fbref.com/en/players/de31038e/Elliot-Anderson,ENG,MF,21,37,33,2728,Nott'ham Forest
Anthony Elanga,https://fbref.com/en/players/2fba6108/Anthony-Elanga,SWE,"FW,MF",22,38,31,2501,Nott'ham Forest
Neco Williams,https://fbref.com/en/players/dd323728/Neco-Williams,WAL,DF,23,35,28,2594,Nott'ham Forest
Callum Hudson-Odoi,https://fbref.com/en/players/15f3ec41/Callum-Hudson-Odoi,ENG,"FW,MF",23,31,25,2194,Nott'ham Forest
Nicolás Domínguez,https://fbref.com/en/players/20b3a502/Nicolas-Dominguez,ARG,"MF,FW",26,34,23,1963,Nott'ham Forest
Ryan Yates,https://fbref.com/en/players/c1fe2a48/Ryan-Yates,ENG,MF,26,35,18,1915,Nott'ham Forest
Álex Moreno,https://fbref.com/en/players/16e9d0ea/Alex-Moreno,ESP,"DF,MF",31,15,11,955,Nott'ham Forest
Ibrahim Sangaré,https://fbref.com/en/players/bced0375/Ibrahim-Sangare,CIV,MF,26,13,7,590,Nott'ham Forest
Morato,https://fbref.com/en/players/0f41e2ee/Morato,BRA,DF,23,26,6,907,Nott'ham Forest
Jota Silva,https://fbref.com/en/players/4d77e622/Jota-Silva,POR,"FW,MF",24,31,5,854,Nott'ham Forest
James Ward-Prowse,https://fbref.com/en/players/3515d404/James-Ward-Prowse,ENG,MF,29,9,5,400,Nott'ham Forest
Danilo,https://fbref.com/en/players/a816dbfb/Danilo,BRA,"MF,FW",23,8,5,275,Nott'ham Forest
Taiwo Awoniyi,https://fbref.com/en/players/e5478b87/Taiwo-Awoniyi,NGA,FW,26,26,3,416,Nott'ham Forest
Ramón Sosa,https://fbref.com/en/players/2d3417a1/Ramon-Sosa,PAR,"FW,MF",24,19,1,295,Nott'ham Forest
Willy Boly,https://fbref.com/en/players/a4ac4b8f/Willy-Boly,CIV,DF,33,6,1,150,Nott'ham Forest
Harry Toffolo,https://fbref.com/en/players/a105d46a/Harry-Toffolo,ENG,DF,28,4,1,137,Nott'ham Forest
Eric da Silva Moreira,https://fbref.com/en/players/0a4f579a/Eric-da-Silva-Moreira,GER,"MF,DF",18,2,0,30,Nott'ham Forest
Bart Verbruggen,https://fbref.com/en/players/cf134113/Bart-Verbruggen,NED,GK, 21,36,36,3240,Brighton
Jan Paul van Hecke,https://fbref.com/en/players/4fd08daa/Jan-Paul-van-Hecke,NED,DF, 24,34,33,2958,Brighton
Carlos Baleba,https://fbref.com/en/players/a1390d2f/Carlos-Baleba,CMR,MF, 20,34,31,2661,Brighton
Kaoru Mitoma,https://fbref.com/en/players/74618572/Kaoru-Mitoma,JPN,"FW,MF", 27,36,28,2603,Brighton
Pervis Estupiñán,https://fbref.com/en/players/d38fdf53/Pervis-Estupinan,ECU,DF, 26,30,26,2402,Brighton
Danny Welbeck,https://fbref.com/en/players/ce5143da/Danny-Welbeck,ENG,FW, 33,30,24,2115,Brighton
Lewis Dunk,https://fbref.com/en/players/282f75f3/Lewis-Dunk,ENG,DF, 32,25,23,2083,Brighton
João Pedro,https://fbref.com/en/players/e8832875/Joao-Pedro,BRA,"FW,MF", 22,27,23,1948,Brighton
Yasin Ayari,https://fbref.com/en/players/f173303a/Yasin-Ayari,SWE,MF, 20,34,22,1965,Brighton
Jack Hinshelwood,https://fbref.com/en/players/e98211e7/Jack-Hinshelwood,ENG,"MF,DF", 19,26,22,1842,Brighton
Yankuba Minteh,https://fbref.com/en/players/c3cf087d/Yankuba-Minteh,GAM,"FW,MF", 20,32,20,1838,Brighton
Joël Veltman,https://fbref.com/en/players/dad4b285/Joel-Veltman,NED,DF, 32,21,19,1697,Brighton
Georginio Rutter,https://fbref.com/en/players/c64c01fc/Georginio-Rutter,FRA,"MF,FW", 22,28,19,1656,Brighton
Simon Adingra,https://fbref.com/en/players/4dcec659/Simon-Adingra,CIV,"FW,MF", 22,29,12,1097,Brighton
Matt O'Riley,https://fbref.com/en/players/fb495bb8/Matt-ORiley,DEN,MF, 23,21,11,938,Brighton
Adam Webster,https://fbref.com/en/players/c40b6180/Adam-Webster,ENG,DF, 29,14,11,887,Brighton
Mats Wieffer,https://fbref.com/en/players/4876c9ab/Mats-Wieffer,NED,"DF,MF", 24,25,10,1015,Brighton
Igor,https://fbref.com/en/players/a4e85758/Igor,BRA,DF, 26,13,10,961,Brighton
Tariq Lamptey,https://fbref.com/en/players/f4e433d4/Tariq-Lamptey,GHA,DF, 23,15,10,860,Brighton
Brajan Gruda,https://fbref.com/en/players/ae9b998d/Brajan-Gruda,GER,"MF,FW", 20,21,8,687,Brighton
Ferdi Kadioglu,https://fbref.com/en/players/66c52a77/Ferdi-Kadioglu,TUR,"DF,MF", 24,6,5,385,Brighton
Diego Gómez,https://fbref.com/en/players/916728da/Diego-Gomez,PAR,MF, 21,16,4,516,Brighton
James Milner,https://fbref.com/en/players/2f90f6b8/James-Milner,ENG,MF, 38,4,3,170,Brighton
Julio Enciso,https://fbref.com/en/players/9cfbad36/Julio-Enciso,PAR,"MF,FW", 20,12,2,294,Brighton
Evan Ferguson,https://fbref.com/en/players/4596da74/Evan-Ferguson,IRL,FW, 19,13,2,246,Brighton
Jason Steele,https://fbref.com/en/players/28300a16/Jason-Steele,ENG,GK, 33,2,2,180,Brighton
Solly March,https://fbref.com/en/players/bb5fbd2b/Solly-March,ENG,"FW,MF", 30,8,1,168,Brighton
Billy Gilmour,https://fbref.com/en/players/df10e27c/Billy-Gilmour,SCO,MF, 23,2,1,98,Brighton
